timestamp,bitmask,latency,ts_mode,beam_range_idx,rf_power_kv,beam_current,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,main_magnet,centering_beam,coax_a,inside_iron_a,outside_iron_a,esd_v,esd_a,fringe_a,esd_in_angle,esd_out_angle,coax_in_angle,coax_out_angle,iron_in_angle,iron_out_angle,filament_a,filament_v,arc_v,arc_a,gas_flow,gas_turns,vac1,vac2,vac3,vac4,vac5,q1a_a,q1b_a,q2a_a,q2b_a,steer40_a,steer50_a,coll_s1_l_a,coll_s1_r_a,coll_s2_l_a,coll_s2_r_a
3856031316.53916,0,264.382,labview_s,2,-4.12240751486444,0.263219906238553,3.80133883424633e-05,-0.000364928528087647,0.0,-0.000152053553369853,-5.32187436794486e-05,1.52053553369853e-05,1.52053553369853e-05,0.0,2.2808033005478e-05,0.00239484346557519,0.0,-0.00303346838972857,0.00202991493748754,0.00135327662499169,0.0,0.000174861586375331,-0.0482770031949284,0.0,0.00283579877034776,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00748863750346527,0.0115408647007719,0.00173341050841633,-0.000129245520364375,16.0,17.0,3.58073193633968,4.03822306504122,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.80419,0,9.742,labview_s,2,1.21290838719831,0.281405511221587,6.08214213479412e-05,-0.000456160660109559,0.0,-8.36294543534192e-05,-0.000121642842695882,4.56160660109559e-05,0.0,0.0,8.36294543534192e-05,0.00243285685391765,0.0,-0.00327675407512033,0.00196149083847111,0.00272936128298886,0.0,0.000152053553369853,-0.0482846058725969,0.0,5.32187436794486e-05,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00751904821413924,0.0113203870483856,0.00161937034338894,-0.000106437487358897,16.0,17.0,3.58319520390427,4.03962956040989,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8137,0,10.263,labview_s,2,-1.0965570081597,0.282059341501078,3.04107106739706e-05,-0.000516982081457501,0.0,-5.32187436794486e-05,-4.56160660109559e-05,-2.2808033005478e-05,-5.32187436794486e-05,0.0,4.56160660109559e-05,0.00234922739956423,0.0,-0.00315511123242445,0.00204512029282452,-0.000509379403789008,0.0,0.000174861586375331,-0.0482541951619229,0.0,0.00120122307162184,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00742781608211732,0.0112443602717006,0.00160416498805195,-0.000129245520364375,16.0,17.0,3.58155302552787,4.03930264527015,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8237,0,10.24,labview_s,2,-0.662276854380064,0.268298494921106,4.56160660109559e-05,-0.000402941916430111,0.0,-9.88348096904045e-05,-9.12321320219119e-05,3.04107106739706e-05,-9.12321320219119e-05,0.0,3.04107106739706e-05,0.00234162472189574,0.0,-0.00319312462076692,0.00198429887147658,0.00271415592765188,0.0,0.000121642842695882,-0.0483530299716133,0.0,0.00120122307162184,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00748103482579677,0.011388811147402,0.00155854892204099,-8.36294543534192e-05,16.0,17.0,3.58143898536285,4.03830669449558,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8337,0,10.215,labview_s,2,2.54753564386919,0.294816634628808,1.52053553369853e-05,-0.000410544594098603,0.0,-6.08214213479412e-05,-9.12321320219119e-05,4.56160660109559e-05,1.52053553369853e-05,0.0,4.56160660109559e-05,0.00244045953158614,0.0,-0.00340599959548471,0.00211354439184096,0.000798281155191729,0.0,8.36294543534192e-05,-0.0483302219386078,0.0,0.00100355345224103,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00746582947045979,0.0111227174290048,0.00147491946768758,-9.88348096904045e-05,16.0,17.0,3.58332444942463,4.04019215855736,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.84369,0,10.252,labview_s,2,-4.11846172515449,0.263409973180265,3.04107106739706e-05,-0.000440955304772574,0.0,-5.32187436794486e-05,-9.12321320219119e-05,4.56160660109559e-05,-2.2808033005478e-05,0.0,-7.60267766849266e-06,0.00235683007723272,0.0,-0.00296504429071214,0.00196149083847111,0.000988348096904045,0.0,0.000159656231038346,-0.0483606326492818,0.0,0.00272936128298886,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0074506241151228,0.0115180566677664,0.00170299979774235,-0.00011404016502739,16.0,17.0,3.58056467743097,4.03828388646257,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8537,0,10.228,labview_s,2,1.20615720942869,0.281306676411897,-3.04107106739706e-05,-0.000342120495082169,0.0,-9.88348096904045e-05,-0.000129245520364375,-7.60267766849266e-06,-7.60267766849266e-05,0.0,3.04107106739706e-05,0.00231121401122177,0.0,-0.00318552194309842,0.00199190154914508,0.00214395510251493,0.0,0.000159656231038346,-0.0483682353269503,0.0,3.04107106739706e-05,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00751904821413924,0.0112519629493691,0.0016573837317314,-0.00011404016502739,16.0,17.0,3.58332444942463,4.03970558718658,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8637,0,10.328,labview_s,2,-1.09241354883037,0.282059341501078,7.60267766849266e-06,-0.000364928528087647,0.0,1.52053553369853e-05,-0.00014445087570136,3.80133883424633e-05,7.60267766849266e-06,0.0,7.60267766849266e-06,0.00242525417624916,0.0,-0.00321593265377239,0.00193108012779713,6.08214213479412e-05,0.0,0.000167258908706838,-0.0483378246162763,0.0,0.00120882574929033,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00742781608211732,0.0112975790153801,0.00160416498805195,-3.80133883424633e-05,16.0,17.0,3.5819559674443,4.03946990417885,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8737,0,10.356,labview_s,2,-0.667606331425677,0.268290892243437,9.12321320219119e-05,-0.000418147271767096,0.0,-6.84240990164339e-05,-0.000152053553369853,9.88348096904045e-05,-9.12321320219119e-05,0.0,0.0,0.00237203543256971,0.0,-0.003101892488745,0.00204512029282452,0.00253169166360805,0.0,0.000106437487358897,-0.0483910433599558,0.0,0.00105677219592048,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.00754945892481321,0.0114420298910814,0.00158895963271497,-8.36294543534192e-05,16.0,17.0,3.58173548979192,4.03852717214796,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856031316.8837,0,10.374,labview_s,2,2.55525236170271,0.294816634628808,7.60267766849266e-06,-0.000342120495082169,0.0,0.0,-0.000106437487358897,6.84240990164339e-05,-9.12321320219119e-05,0.0,5.32187436794486e-05,0.00234162472189574,0.0,-0.00339079424014772,0.00215916045785191,-0.000159656231038346,0.0,0.000159656231038346,-0.0484822754919777,0.0,0.000935129353224597,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0074506241151228,0.0110771013629938,0.00142170072400813,-0.000174861586375331,16.0,17.0,3.58375019937407,4.04040503353208,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
